x,y
74,536
65,545
56,545
48,545
39,544
31,544
21,553
13,552
4,551
-2,539
-2,489
0,438
-7,437
-13,436
-17,424
-24,423
-30,421
-37,419
-43,417
-46,405
-52,403
-58,401
-64,399
-74,405
-96,439
-133,500
-193,604
-202,599
-217,603
-231,607
-246,610
-260,613
-275,615
-290,617
-311,628
-327,629
-337,622
-353,623
-375,631
-391,631
-427,653
-444,652
-467,657
-478,648
-523,674
-541,671
-566,674
-576,662
-579,644
-582,626
-592,615
-594,597
-587,573
-596,561
-581,532
-319,331
-323,324
-320,311
-316,299
-320,292
-315,281
-310,269
-314,262
-309,251
-303,240
-306,233
-300,222
-303,216
-296,205
-299,199
-292,189
-294,182
-287,173
-289,167
-291,160
-293,154
-294,147
-296,141
-307,137
-328,134
-339,128
-360,124
-381,120
-392,113
-423,108
-444,101
-803,117
-704,96
-705,83
-695,69
-696,55
-695,42
-695,29
-704,15
-714,0
-722,-13
-721,-27
-710,-40
-728,-56
-716,-69
-713,-82
-721,-98
-561,-79
-442,-63
-440,-72
-437,-81
-435,-90
-442,-101
-496,-129
-767,-233
-771,-251
-775,-270
-779,-288
-791,-311
-793,-330
-796,-349
-797,-369
-790,-384
-791,-404
-791,-423
-809,-454
-817,-479
-824,-505
-823,-526
-829,-553
-827,-574
-807,-584
-836,-630
-824,-645
-850,-692
-845,-715
-861,-757
-817,-746
-803,-762
-789,-777
-760,-778
-724,-771
-696,-770
-668,-768
-647,-774
-633,-786
-605,-783
-584,-787
-407,-582
-396,-591
-373,-582
-339,-557
-334,-573
-328,-588
-322,-604
-306,-602
-323,-661
-395,-826
-379,-835
-364,-842
-340,-832
-324,-839
-308,-846
-293,-852
-277,-858
-257,-855
-235,-842
-222,-857
-203,-852
-182,-837
-171,-861
-155,-865
-139,-869
-121,-863
-105,-866
-92,-889
-74,-882
-58,-884
-42,-896
-26,-898
58,-123
61,-123
64,-123
67,-123
71,-113
74,-114
76,-113
79,-113
82,-113
85,-103
87,-103
90,-103
93,-102
96,-102
99,-102
101,-101
104,-101
105,-90
107,-90
110,-89
112,-88
115,-88
117,-87
120,-86
122,-85
125,-84
127,-84
130,-83
132,-82
135,-81
137,-79
135,-69
137,-68
139,-67
141,-66
144,-65
146,-64
148,-62
150,-61
152,-60
154,-58
162,-65
164,-63
166,-62
168,-60
170,-58
172,-57
174,-55
176,-53
178,-51
180,-50
181,-48
183,-46
185,-44
187,-42
188,-40
190,-38
192,-36
201,-40
203,-38
205,-35
206,-33
208,-31
209,-28
211,-26
212,-23
222,-26
224,-23
225,-21
226,-18
228,-15
229,-13
239,-14
240,-11
242,-8
243,-5
244,-2
254,-2
255,0
256,3
267,4
268,7
268,11
279,12
280,15
280,19
291,21
291,25
302,27
302,31
313,35
803,30
803,43
794,56
793,68
783,80
802,94
812,107
811,120
800,132
798,144
796,157
814,173
822,187
820,201
817,214
814,226
821,242
817,255
814,268
839,289
844,306
849,322
844,336
839,349
843,366
838,380
841,397
835,410
811,415
777,414
736,408
729,419
714,425
699,431
667,426
661,437
637,436
622,440
607,443
593,447
578,450
563,452
548,454
534,456
519,457
505,458
498,465
484,466
469,466
455,465
448,472
434,471
421,469
413,475
400,473
392,479
385,484
372,481
364,487
351,483
344,488
331,484
324,489
316,493
308,497
296,492
288,496
281,500
269,494
261,497
253,501
246,504
238,507
230,509
222,512
211,505
203,507
195,509
187,512
179,513
171,515
163,517
155,518
147,520
139,521
131,522
123,523
114,524
107,534
99,535
90,535
82,535
