x,y
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
0,2
1,2
149,2
0,3
1,3
99,3
100,3
101,3
149,3
0,4
1,4
98,4
99,4
100,4
101,4
149,4
0,5
1,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
149,5
0,6
1,6
95,6
96,6
97,6
98,6
101,6
102,6
103,6
149,6
0,7
1,7
93,7
94,7
95,7
96,7
102,7
103,7
149,7
0,8
1,8
92,8
93,8
94,8
95,8
102,8
103,8
104,8
149,8
0,9
1,9
91,9
92,9
93,9
103,9
104,9
105,9
149,9
0,10
1,10
92,10
93,10
104,10
105,10
149,10
0,11
1,11
92,11
93,11
94,11
104,11
105,11
106,11
149,11
0,12
1,12
93,12
94,12
95,12
104,12
105,12
106,12
149,12
0,13
1,13
94,13
95,13
102,13
103,13
104,13
105,13
106,13
149,13
0,14
1,14
94,14
95,14
96,14
101,14
102,14
103,14
104,14
149,14
0,15
1,15
95,15
96,15
97,15
99,15
100,15
101,15
102,15
149,15
0,16
1,16
96,16
97,16
98,16
99,16
100,16
101,16
149,16
0,17
1,17
96,17
97,17
98,17
99,17
149,17
0,18
1,18
97,18
98,18
149,18
0,19
1,19
149,19
0,20
1,20
149,20
0,21
1,21
149,21
0,22
1,22
149,22
0,23
1,23
149,23
0,24
1,24
149,24
0,25
1,25
149,25
0,26
1,26
149,26
0,27
1,27
149,27
0,28
1,28
149,28
0,29
1,29
149,29
0,30
1,30
149,30
0,31
1,31
149,31
0,32
1,32
123,32
124,32
125,32
149,32
0,33
1,33
122,33
123,33
124,33
125,33
126,33
127,33
149,33
0,34
1,34
122,34
123,34
125,34
126,34
127,34
128,34
129,34
149,34
0,35
1,35
121,35
122,35
123,35
127,35
128,35
129,35
130,35
131,35
149,35
0,36
1,36
121,36
122,36
129,36
130,36
131,36
132,36
149,36
0,37
1,37
120,37
121,37
122,37
131,37
132,37
133,37
134,37
