x,y
-354.268,1135.31
-372,1139.16
-389.307,1126.7
-407.18,1132.93
-425.35,1139.83
-443.167,1139.43
-460.887,1137.72
-478.453,1134.72
-497.199,1140.32
-518.681,1161.37
-533.994,1142.59
-547.367,1116.72
-565.714,1118.09
-583.043,1114.25
-594.013,1084.88
-424.149,384.112
-428.69,382.853
-432.039,377.689
-435.23,372.489
-438.265,367.256
-441.141,361.994
-444.218,357.641
-447.17,353.254
-449.997,348.836
-452.698,344.39
-455.274,339.92
-457.724,335.427
-460.048,330.917
-462.716,327.273
-465.289,323.6
-467.768,319.9
-470.152,316.175
-472.44,312.427
-474.633,308.658
-476.731,304.871
-478.734,301.068
-481.23,298.06
-483.056,294.22
-485.404,291.158
-487.684,288.067
-489.896,284.947
-492.04,281.801
-494.116,278.629
-496.124,275.434
-498.062,272.215
-499.932,268.976
-501.733,265.717
-503.464,262.44
-505.87,259.815
-507.474,256.492
-509.775,253.798
-511.251,250.435
-513.446,247.676
-515.592,244.879
-517.689,242.045
-519.737,239.174
-521.734,236.269
-524.518,233.874
-526.422,230.886
-528.273,227.865
-530.071,224.812
-531.816,221.728
-533.506,218.615
-535.142,215.472
-537.622,212.74
-539.155,209.526
-540.631,206.286
-542.971,203.412
-545.268,200.481
-547.519,197.494
-549.724,194.452
-551.881,191.356
-553.99,188.206
-556.048,185.002
-558.055,181.747
-560.976,178.699
-562.882,175.325
-564.732,171.901
-567.504,168.637
-569.244,165.099
-571.911,161.688
-574.523,158.197
-577.078,154.626
-579.576,150.976
-582.014,147.249
-585.385,143.532
-603.659,140.751
-354.268,123.312
-1259.72,154.931
-1103.15,136.384
-1118.27,123.312
-1133.15,109.717
-1094.82,97.4516
-1100.24,84.217
-1105.43,70.7854
-1146.24,54.0231
-1132.98,41.4662
-1119.52,29.3506
-1123.71,15.1745
-1128.62,0.66745
-1129.31,-13.3492
-1117.97,-25.1374
-1121.14,-39.6908
-1121.1,-53.7245
-1128.56,-69.7416
-1132.8,-85.2962
-1147.31,-104.089
-1142.26,-117.602
-1133.18,-129.773
-1135.27,-145.607
-1144.55,-164.327
-1140.34,-178.434
-1143.3,-195.478
-1145.9,-212.717
-1146.31,-229.329
-1140.04,-243.098
-1138.02,-258.948
-1136.57,-275.292
-1084.47,-264.941
-1063.58,-269.869
-1026.3,-264.688
-1004,-267.087
-1000.48,-280.487
-987.464,-287.89
-966.927,-289.932
-929.313,-279.339
-916.535,-285.199
-898.937,-287.126
-882.235,-289.181
-854.75,-281.97
-836.11,-281.001
-819.169,-280.82
-806.1,-283.519
-791.618,-284.523
-775.801,-283.758
-760.854,-283.274
-746.75,-283.115
-733.459,-283.321
-719.613,-282.445
-707.228,-282.722
-695.588,-283.458
-684.032,-283.912
-672.565,-284.09
-661.194,-283.992
-649.924,-283.624
-638.762,-282.987
-628.273,-282.916
-617.873,-282.605
-608.099,-282.903
-598.911,-283.843
-589.768,-284.586
-580.674,-285.135
-571.633,-285.493
-562.65,-285.66
-554.165,-286.538
-545.291,-286.339
-536.893,-286.87
-528.534,-287.233
-520.219,-287.43
-511.95,-287.463
-504.073,-288.273
-495.89,-287.989
-487.763,-287.544
-480.28,-288.855
-472.516,-289.069
-464.784,-289.138
-457.085,-289.064
-449.647,-289.821
-442.215,-290.444
-434.789,-290.935
-427.374,-291.292
-420.127,-292.505
-412.721,-292.601
-405.453,-293.557
-398.17,-294.387
-390.873,-295.09
-383.566,-295.665
-376.249,-296.112
-368.961,-297.432
-361.615,-297.624
-354.268,-297.688
-346.903,-298.624
-339.506,-299.43
-332.077,-300.107
-324.621,-300.653
-317.052,-302.063
-309.53,-302.343
-301.864,-303.483
-294.284,-303.494
-286.688,-303.369
-291.407,-233.188
-285.195,-232.037
-280.252,-224.909
-275.31,-218.692
-270.563,-212.41
-265.752,-207.035
-261.103,-201.594
-256.616,-196.094
-252.292,-190.537
-247.807,-185.873
-243.111,-182.088
-238.515,-178.234
-234.019,-174.314
-228.843,-172.17
-222.079,-173.59
-214.381,-176.676
-203.907,-184.974
-192.193,-194.777
-179.625,-205.144
-166.647,-215.166
-101.768,-314.031
-94.1739,-309.558
-70.2312,-331.242
-58.529,-332.086
-46.1527,-333.488
-33.0652,-335.413
-19.2305,-337.828
-5.21521,-339.897
8.97229,-341.614
23.3242,-342.976
37.8324,-343.975
53.1445,-345.363
67.2844,-344.869
82.2109,-344.754
101.428,-348.575
118.786,-349.742
134.164,-348.361
161.336,-357.497
181.539,-359.131
202.708,-360.86
224.862,-362.636
258.9,-373.222
266.685,-361.829
295.821,-366.565
315.598,-363.374
316.617,-346.447
324.714,-334.667
321.701,-315.667
319.93,-297.974
321.18,-282.538
328.16,-270.688
327.935,-254.839
324.719,-237.712
321.115,-220.813
16.9339,-57.7353
20.0371,-51.2294
15.718,-41.4163
12.0929,-32.199
8.26089,-23.1592
4.22687,-14.3013
0.935791,-5.97169
-2.5351,2.20069
-6.1813,10.2118
-9.04199,17.7658
-12.0589,25.185
-14.2621,32.2078
-17.5754,39.3651
-21.0334,46.3787
-23.6541,53.0378
-26.4045,59.5817
-28.2966,65.8345
-30.3062,72.0015
-33.4211,78.2199
-35.6607,84.1919
-38.01,90.0719
-40.4667,95.858
-42.0305,101.478
-43.6942,107.036
-44.4568,112.493
-44.3152,117.902
-31.268,123.312
-24.3183,129.071
-10.4776,135.317
16.2236,142.729
23.8088,149.75
43.2137,158.087
64.4257,167.319
87.415,177.544
114.129,189.141
374.646,238.76
372.52,251.464
368.21,263.747
367.605,276.751
368.715,290.226
372.483,304.512
287.107,295.168
228.257,290.348
225.253,300.489
222.072,310.576
218.716,320.606
367.416,385.984
363.655,398.897
359.664,411.759
380.295,435.115
372.914,447.075
366.247,459.294
366.565,474.886
368.338,491.498
375.93,511.565
377.789,529.098
379.255,546.812
371.753,559.549
373.357,577.983
366.989,591.701
357.875,603.659
377.235,635.516
379.51,656.433
378.081,675.176
388.038,703.265
381.689,719.279
381.901,741.031
383.083,764.282
400.024,802.479
396.832,823.724
399.6,851.314
412.236,889.816
380.681,884.373
387.746,919.025
393.151,953.405
395.607,985.945
410.649,1034.9
420.425,1079.98
402.38,1091.78
378.141,1095.25
379.288,1132.97
338.039,1112.03
316.764,1118.16
298.21,1128.04
262.558,1110.44
245.236,1121.05
214.232,1107.98
194.052,1112.51
176.235,1121.04
156.017,1124.8
136.269,1129.06
105.118,1108.47
86.2279,1112.68
-48.7164,843.147
-61.3257,848.37
-76.8912,845.903
-95.3587,834.659
-107.162,840.961
-117.561,851.821
-132.65,848.191
-145.335,851.948
-100.884,1068.95
-112.104,1094.58
-125.943,1112.3
-143.861,1113.2
-161.169,1116.72
-177.32,1126.83
-197.208,1114.95
-212.59,1131.4
-229.839,1136.7
-249.008,1124.8
-264.323,1151.38
-285.209,1110.9
-302.456,1111.96
-315.32,1238.63
-336.693,1130.16
